uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,conn_state,orig_ip_bytes,resp_ip_bytes,is_malicious,rtt,query,answers,TTLs,version,server_name,resumed,next_protocol,established,cert_chain_fuids,trans_depth,host,uri,request_body_len,response_body_len,status_code,status_msg,resp_fuids,fuid,tx_hosts,rx_hosts,source,analyzers,is_orig,seen_bytes,total_bytes,certificate.serial,certificate.issuer,certificate.key_alg,certificate.valid_duration
84,1,1210,40,53,2,0.010542,6,59,108,0,0.010542,33,38,6,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
145,1,43814,40,53,2,0.010908,6,61,115,0,0.010908,21,27,46,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
144,1,51631,40,53,2,0.010734,6,78,94,0,0.010734,36,3,55,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
70,1,65449,40,53,2,0.010405,6,65,119,0,0.010405,20,27,47,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
214,1,63247,40,53,2,0.009332,6,68,108,0,0.009332,17,30,0,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
133,1,60483,40,53,2,0.010756,6,61,115,0,0.010756,21,27,45,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
201,1,60375,40,53,2,0.010682,6,66,114,0,0.010682,14,35,33,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
181,1,49536,40,53,2,0.000854,6,64,122,0,0.000854,19,20,37,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
149,1,52296,10,443,1,21.290251,6,4380,4681,0,,46,43,58,2,19,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
1,1,33960,14,443,1,23.533448,6,87123,3317437,0,,46,43,58,2,34,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
190,1,33958,14,443,1,23.549391,6,92080,4003561,0,,46,43,58,2,34,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
162,1,33970,14,443,1,19.43297,6,61885,3138520,0,,46,43,58,2,34,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
171,1,48886,11,443,1,21.284708,6,1792,12918,0,,46,43,58,0,14,1,0,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
7,1,33956,14,443,1,23.588811,6,92374,3708761,0,,46,43,58,2,34,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
213,1,33954,14,443,1,23.590572,6,73406,2666812,0,,46,43,58,2,34,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
204,1,33962,14,443,1,23.485496,6,22985,4355,0,,46,43,58,2,20,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
148,1,33952,14,443,1,25.01393,6,55011,206040,0,,46,43,58,2,21,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
125,1,58526,9,443,1,21.909839,6,2635,4595,0,,46,43,58,0,17,0,2,1,0,,3,11,,,,3,18,3,7,0,1,1,0,1579.0,,0,0,0,7214400.0
125,1,58526,9,443,1,21.909839,6,2635,4595,0,,46,43,58,0,17,0,2,1,0,,3,11,,,,3,18,54,7,0,1,1,0,1205.0,,12,5,2,
59,1,65248,40,53,2,0.0128,6,68,113,0,0.0128,26,29,39,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
41,1,48726,40,53,2,0.000828,6,64,122,0,0.000828,19,19,41,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
168,1,64295,40,53,2,0.011035,6,74,90,0,0.011035,37,2,55,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
128,1,57926,40,53,2,0.010719,6,68,119,0,0.010719,25,35,44,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
35,1,1355,40,53,2,0.009021,6,65,104,0,0.009021,41,35,32,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
218,1,38026,40,53,2,0.010651,6,62,107,0,0.010651,43,37,43,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
139,0,3,0,4,0,3.673729,0,1152,0,0,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
182,1,48896,11,443,1,28.934406,6,974,775,0,,46,43,58,2,39,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
43,1,58290,10,80,1,93.312201,6,640,372,0,,46,43,58,3,43,2,2,2,20,1.0,1,1,0.0,0.0,204.0,0,18,70,18,2,2,2,2,,,12,5,2,
103,1,60978,13,443,1,28.827362,6,1536,8133,0,,46,43,58,2,41,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
205,1,48892,11,443,1,28.983424,6,374707,18795185,0,,46,43,58,2,25,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
57,1,48894,11,443,1,28.935484,6,2033,4154,0,,46,43,58,2,39,1,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
161,1,46758,40,53,2,0.000836,6,64,109,0,0.000836,11,36,56,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
9,1,54244,40,53,2,0.010975,6,62,102,0,0.010975,7,38,29,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
97,1,40210,40,53,2,0.000831,6,64,122,0,0.000831,19,20,35,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
48,1,54118,40,53,2,0.010891,6,66,111,0,0.010891,12,37,1,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
216,1,43078,40,53,2,0.011419,6,68,108,0,0.011419,17,30,7,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
