ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
2020-09-02 14:33:23.796334982,CMLZbu3FDJYoZwa27k,10.8.0.117,1210,8.8.8.8,53,udp,dns,0.010542,31,80,SF,Dd,1,59,1,108
2020-09-02 14:33:48.334928036,CgRCjV3z8dKmNVIvhb,10.8.0.117,43814,8.8.8.8,53,udp,dns,0.010908,33,87,SF,Dd,1,61,1,115
2020-09-02 14:33:49.757675886,CgFfWv3PUApAZUINNf,10.8.0.117,51631,8.8.8.8,53,udp,dns,0.010734,50,66,SF,Dd,1,78,1,94
2020-09-02 14:33:49.863610983,CIkFu02IznJPZcp1El,10.8.0.117,65449,8.8.8.8,53,udp,dns,0.010405,37,91,SF,Dd,1,65,1,119
2020-09-02 14:33:51.540623903,Cylq6E2mc9lVLjs8ua,10.8.0.117,63247,8.8.8.8,53,udp,dns,0.009332,40,80,SF,Dd,1,68,1,108
2020-09-02 14:33:51.979031086,CcJ1R84gTag5YbPvmh,10.8.0.117,60483,8.8.8.8,53,udp,dns,0.010756,33,87,SF,Dd,1,61,1,115
2020-09-02 14:33:52.049025059,CtwcCm4h5zYhY4vROl,10.8.0.117,60375,8.8.8.8,53,udp,dns,0.010682,38,86,SF,Dd,1,66,1,114
2020-09-02 14:33:52.058527946,CoTskn4P32ZeBcjb7f,10.8.0.117,49536,8.8.8.8,53,udp,dns,0.000854,36,94,SF,Dd,1,64,1,122
2020-09-02 14:33:52.057677984,ChLiFt1y8OfIFbEuz8,10.8.0.117,52296,157.240.30.18,443,tcp,ssl,21.290251,1926,3921,SF,ShADadTFf,16,4380,14,4681
2020-09-02 14:33:49.814564943,C05gpYcCZjI5tZ4m5,10.8.0.117,33960,157.240.30.63,443,tcp,ssl,23.533448,7369,2922454,SF,ShADadtttTFf,1398,87123,2418,3317437
2020-09-02 14:33:49.798703909,CplZRBVCFLcGq4Dbl,10.8.0.117,33958,157.240.30.63,443,tcp,ssl,23.549391,6942,3732876,SF,ShADadttTFf,1531,92080,2906,4003561
