ts,uid,id.orig_p,trans_id,rtt,query,answers,TTLs
2020-09-02 14:33:23.796334982,CMLZbu3FDJYoZwa27k,1210,15630,0.010542,portal.fb.com,"star.c10r.facebook.com,157.240.30.18","174.000000,59.000000"
2020-09-02 14:33:48.334928036,CgRCjV3z8dKmNVIvhb,43814,35052,0.010908,i.instagram.com,"instagram.c10r.facebook.com,157.240.30.63","3599.000000,2.000000"
2020-09-02 14:33:49.757675886,CgFfWv3PUApAZUINNf,51631,55600,0.010734,scontent-prg1-1.cdninstagram.com,157.240.30.63,59.000000
2020-09-02 14:33:49.863610983,CIkFu02IznJPZcp1El,65449,39507,0.010405,graph.instagram.com,"instagram.c10r.facebook.com,157.240.30.63","3599.000000,30.000000"
2020-09-02 14:33:51.540623903,Cylq6E2mc9lVLjs8ua,63247,41491,0.009332,edge-mqtt.facebook.com,"mqtt.c10r.facebook.com,157.240.30.11","1236.000000,37.000000"
2020-09-02 14:33:51.979031086,CcJ1R84gTag5YbPvmh,60483,61558,0.010756,i.instagram.com,"instagram.c10r.facebook.com,157.240.30.63","3596.000000,59.000000"
2020-09-02 14:33:52.058527946,CoTskn4P32ZeBcjb7f,49536,42583,0.000854,graph.facebook.com,"api.facebook.com,star.c10r.facebook.com,157.240.27.18","3350.000000,3381.000000,31.000000"
2020-09-02 14:33:52.049025059,CtwcCm4h5zYhY4vROl,60375,59134,0.010682,connect.facebook.net,"scontent.xx.fbcdn.net,157.240.30.27","2936.000000,59.000000"
2020-09-02 14:34:15.567967892,CFeM3q2CSFxSzx1908,65248,48700,0.012800,mqtt-mini.facebook.com,"mqtt-mini.c10r.facebook.com,157.240.30.34","3418.000000,59.000000"
2020-09-02 14:34:25.302814007,CAriMv2MrASpSgbtDk,48726,34128,0.000828,graph.facebook.com,"api.facebook.com,star.c10r.facebook.com,157.240.20.15","3506.000000,3295.000000,27.000000"
2020-09-02 14:34:26.054291964,ClJ9164cerYJLoOBQj,64295,56511,0.011035,scontent-prg1-1.xx.fbcdn.net,157.240.30.27,59.000000
2020-09-02 14:34:28.137527943,CYnQRI2pSm4D01ZH25,57926,37013,0.010719,lookaside.facebook.com,"scontent.xx.fbcdn.net,157.240.30.27","3577.000000,59.000000"
2020-09-02 14:34:28.190057993,C8tV0Q17oDpr8cZP49,1355,47623,0.009021,static.xx.fbcdn.net,"scontent.xx.fbcdn.net,157.240.30.27","2861.000000,27.000000"
2020-09-02 14:34:28.256763935,Cz9d6j2Tevs3csiPu7,38026,37503,0.010651,www.facebook.com,"star-mini.c10r.facebook.com,157.240.30.35","3541.000000,59.000000"
2020-09-02 14:34:59.058437109,CjzSMl2SOuqjA4vSze,46758,35228,0.000836,b-api.facebook.com,"star-mini.c10r.facebook.com,157.240.20.35","63.000000,58.000000"
2020-09-02 14:34:59.059129953,CTNOvA1O3vEpzqER43,40210,40908,0.000831,graph.facebook.com,"api.facebook.com,star.c10r.facebook.com,157.240.27.18","3261.000000,3189.000000,56.000000"
2020-09-02 14:34:59.058777094,C2Vq83BPySxGB9vW3,54244,47401,0.010975,api.facebook.com,"star.c10r.facebook.com,157.240.30.18","2663.000000,59.000000"
2020-09-02 14:34:59.076047897,CD3dEk3tUDjMh2sm3b,54118,36743,0.010891,b-graph.facebook.com,"star-mini.c10r.facebook.com,157.240.30.35","125.000000,59.000000"
2020-09-02 14:34:59.076273918,CytuelzJJ7As5zy2i,43078,39665,0.011419,edge-mqtt.facebook.com,"mqtt.c10r.facebook.com,157.240.30.11","1776.000000,11.000000"
2020-09-02 14:35:12.197844028,C2u9c31vZCCiKM7cja,63543,34775,0.000946,api.twitter.com,"tpop-api.twitter.com,104.244.42.194,104.244.42.2,104.244.42.130,104.244.42.66","1606.000000,1606.000000,1606.000000,1606.000000,1606.000000"
2020-09-02 14:35:12.441023111,ComMwk2CF8LbFpX1Jk,1045,51659,0.011053,pbs.twimg.com,"cs196.wac.edgecastcdn.net,cs2-wac.apr-8315.edgecastdns.net,cs2-wac-eu.8315.ecdns.net,cs672.wac.edgecastcdn.net,192.229.233.50","234.000000,3283.000000,284.000000,284.000000,3599.000000"
2020-09-02 14:35:12.441093922,CYCnBU1nXPQbqBmPm2,44760,37428,0.011003,video.twimg.com,"cs296.wpc.edgecastcdn.net,cs2-wpc.apr-8315.edgecastdns.net,cs2-wpc-eu.8315.ecdns.net,cs189.wpc.edgecastcdn.net,68.232.34.217","184.000000,3244.000000,219.000000,30.000000,3599.000000"
2020-09-02 14:35:14.646605968,Ck7LrV13uSp2ylfl3i,1231,54030,0.000897,na.glbtls.t.co,35.201.69.248,378.000000
2020-09-02 14:35:18.749583960,CBgDoe1QknbrJ4zDw1,50111,64573,0.000992,api-45-0-0.twitter.com,69.195.168.128,21503.000000
2020-09-02 14:35:24.051503897,CHjVLs1aaHARFzWsZd,39818,50678,0.000859,api-24-0-0.twitter.com,69.195.179.128,21344.000000
