ts,uid,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,user_agent,request_body_len,response_body_len,status_code,status_msg,resp_fuids
2020-09-02 14:33:23.810384989,CBPoVA3CEo9RnTQNDj,58290,157.240.30.18,80,1,GET,portal.fb.com,/mobile/status.php,Facebook,0,0,204,No Content,
2020-09-02 14:36:16.844291925,CriN9h1d6hCNTMi3P6,38680,13.107.4.52,80,1,GET,www.msftconnecttest.com,/connecttest.txt?n=1599057376803,okhttp/3.11.0,0,22,200,OK,FD0bxc2b2RRcwMJgR6
2020-09-02 14:39:00.430397987,CKwfPy2GoRYlUeD35i,47782,147.32.83.230,8000,1,GET,147.32.83.230,/socket.io/?model=unknown&EIO=3&id=3ad69a3e675271f&transport=polling&release=8.0.0&manf=unknown,Dalvik/2.1.0 (Linux; U; Android 8.0.0; unknown Build/OPR6.170623.017),0,101,200,OK,Fn4Nyq2uspF7NKz5Sd
2020-09-02 14:39:03.634990931,CKwfPy2GoRYlUeD35i,47782,147.32.83.230,8000,2,GET,147.32.83.230,/socket.io/?release=8.0.0&model=unknown&EIO=3&id=3ad69a3e675271f&transport=polling&manf=unknown&sid=_8fjxxqKwE8mBfs9AAAA,Dalvik/2.1.0 (Linux; U; Android 8.0.0; unknown Build/OPR6.170623.017),0,5,200,OK,FFgr86DuOh95cXgD2
2020-09-02 14:39:03.647546053,CKwfPy2GoRYlUeD35i,47782,147.32.83.230,8000,3,GET,147.32.83.230,/socket.io/?release=8.0.0&model=unknown&EIO=3&id=3ad69a3e675271f&transport=polling&manf=unknown&sid=_8fjxxqKwE8mBfs9AAAA,Dalvik/2.1.0 (Linux; U; Android 8.0.0; unknown Build/OPR6.170623.017),0,4,200,OK,FBfRJY23EJDBjouIgi
2020-09-02 14:46:14.230858088,Cpl4DO1V4VtiWE0oBj,47800,147.32.83.230,8000,1,GET,147.32.83.230,/socket.io/?model=unknown&EIO=3&id=3ad69a3e675271f&transport=polling&release=8.0.0&manf=unknown,Dalvik/2.1.0 (Linux; U; Android 8.0.0; unknown Build/OPR6.170623.017),0,101,200,OK,FjFdMuSXbZHaDExq6
2020-09-02 14:46:14.828830004,Cpl4DO1V4VtiWE0oBj,47800,147.32.83.230,8000,2,GET,147.32.83.230,/socket.io/?release=8.0.0&model=unknown&EIO=3&id=3ad69a3e675271f&transport=polling&manf=unknown&sid=dZypoQS8D-TK7dTmAAAB,Dalvik/2.1.0 (Linux; U; Android 8.0.0; unknown Build/OPR6.170623.017),0,5,200,OK,Fw9Tz43sdEHYfJfWFj
2020-09-02 14:46:14.852785110,Cpl4DO1V4VtiWE0oBj,47800,147.32.83.230,8000,3,GET,147.32.83.230,/socket.io/?release=8.0.0&model=unknown&EIO=3&id=3ad69a3e675271f&transport=polling&manf=unknown&sid=dZypoQS8D-TK7dTmAAAB,Dalvik/2.1.0 (Linux; U; Android 8.0.0; unknown Build/OPR6.170623.017),0,4,200,OK,FXvc931jVqQOqy9Hwl
2020-09-02 14:39:03.638447046,C0Uxcf30mJ2Lq5wbX,47786,147.32.83.230,8000,1,GET,147.32.83.230,/socket.io/?release=8.0.0&model=unknown&EIO=3&id=3ad69a3e675271f&transport=websocket&manf=unknown&sid=_8fjxxqKwE8mBfs9AAAA,okhttp/3.5.0,0,0,101,Switching Protocols,
2020-09-02 14:46:14.831793070,CNPVre20YbYQSMf7Ke,47802,147.32.83.230,8000,1,GET,147.32.83.230,/socket.io/?release=8.0.0&model=unknown&EIO=3&id=3ad69a3e675271f&transport=websocket&manf=unknown&sid=dZypoQS8D-TK7dTmAAAB,okhttp/3.5.0,0,0,101,Switching Protocols,
