ts,id,certificate.serial,certificate.subject,certificate.issuer,certificate.not_valid_before,certificate.not_valid_after,certificate.key_alg,certificate.key_type,certificate.key_length,san.dns
2020-09-02 14:33:51.558053017,F11cB51wbjfFUg2Hqk,01C1AC2FB17829C72707395E7EF8CDB3,"CN=*.facebook.com,O=Facebook\\, Inc.,L=Menlo Park,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US",2020-07-20 22:00:00,2020-10-12 10:00:00,id-ecPublicKey,ecdsa,256,"*.facebook.com,*.facebook.net,*.fbcdn.net,*.fbsbx.com,*.messenger.com,facebook.com,messenger.com,*.m.facebook.com,*.xx.fbcdn.net,*.xy.fbcdn.net,*.xz.fbcdn.net"
2020-09-02 14:34:15.589654922,FGkGth3S2vgqsSOeW9,01C1AC2FB17829C72707395E7EF8CDB3,"CN=*.facebook.com,O=Facebook\\, Inc.,L=Menlo Park,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US",2020-07-20 22:00:00,2020-10-12 10:00:00,id-ecPublicKey,ecdsa,256,"*.facebook.com,*.facebook.net,*.fbcdn.net,*.fbsbx.com,*.messenger.com,facebook.com,messenger.com,*.m.facebook.com,*.xx.fbcdn.net,*.xy.fbcdn.net,*.xz.fbcdn.net"
2020-09-02 14:34:59.079447031,FU4lIF474GDFf2hycj,01C1AC2FB17829C72707395E7EF8CDB3,"CN=*.facebook.com,O=Facebook\\, Inc.,L=Menlo Park,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US",2020-07-20 22:00:00,2020-10-12 10:00:00,id-ecPublicKey,ecdsa,256,"*.facebook.com,*.facebook.net,*.fbcdn.net,*.fbsbx.com,*.messenger.com,facebook.com,messenger.com,*.m.facebook.com,*.xx.fbcdn.net,*.xy.fbcdn.net,*.xz.fbcdn.net"
2020-09-02 14:36:15.918709040,F5l1zD2OWAgyw4g1Y1,0CFE7DBF9D968839FD4820BD6FC8A30E,"CN=api.twitter.com,OU=fra2,O=Twitter\\, Inc.,L=San Francisco,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US",2020-03-04 23:00:00,2021-03-02 11:00:00,rsaEncryption,rsa,2048,api.twitter.com
2020-09-02 14:36:18.385674953,FrXiZ5fKhKL2s7Yv3,16000B42174A1FBE22833937FD0000000B4217,CN=edge.skype.com,"CN=Microsoft IT TLS CA 4,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US",2019-10-31 16:23:21,2021-10-31 16:23:21,rsaEncryption,rsa,2048,"a.config.skype.com,a.config.skype.net,b.config.skype.com,b.config.skype.net,edge.skype.com,edge.skype.net,int.edge.trouter.io,prod.edge.trouter.io,config.edge.skype.com,config.edge.skype.net,api.skype.com,ui.skype.com,teams.skype.com,api.teams.skype.com,img.teams.skype.com,statics.teams.skype.com,webhook.teams.skype.com,*.teams.skype.com,trap.skype.com,trap.skype.net,teams.microsoft.com,*.teams.microsoft.com,*.config.microsoft.com,*.config.skype.com,teams.microsoft.us,*.teams.microsoft.us,urlp.sfbassets.com,*.urlp.sfbassets.com,*.skype.net,*.teams.microsoft.net,*.sfbassets.com,*.sfbassets.net,*.lync.com,*.dialin.teams.microsoft.net,*.dialin.services.skypeforbusiness.net,*.tip.lync.com,*.cpcapi.skype.net,*.cqd.lync.com,devspaces.skype.com,*.devspaces.skype.com"
2020-09-02 14:36:18.470474958,F2IcbHptnvcAcsfob,16000B42174A1FBE22833937FD0000000B4217,CN=edge.skype.com,"CN=Microsoft IT TLS CA 4,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US",2019-10-31 16:23:21,2021-10-31 16:23:21,rsaEncryption,rsa,2048,"a.config.skype.com,a.config.skype.net,b.config.skype.com,b.config.skype.net,edge.skype.com,edge.skype.net,int.edge.trouter.io,prod.edge.trouter.io,config.edge.skype.com,config.edge.skype.net,api.skype.com,ui.skype.com,teams.skype.com,api.teams.skype.com,img.teams.skype.com,statics.teams.skype.com,webhook.teams.skype.com,*.teams.skype.com,trap.skype.com,trap.skype.net,teams.microsoft.com,*.teams.microsoft.com,*.config.microsoft.com,*.config.skype.com,teams.microsoft.us,*.teams.microsoft.us,urlp.sfbassets.com,*.urlp.sfbassets.com,*.skype.net,*.teams.microsoft.net,*.sfbassets.com,*.sfbassets.net,*.lync.com,*.dialin.teams.microsoft.net,*.dialin.services.skypeforbusiness.net,*.tip.lync.com,*.cpcapi.skype.net,*.cqd.lync.com,devspaces.skype.com,*.devspaces.skype.com"
2020-09-02 14:36:19.206903934,FQpYfl19rA6umwDOSi,0CFE7DBF9D968839FD4820BD6FC8A30E,"CN=api.twitter.com,OU=fra2,O=Twitter\\, Inc.,L=San Francisco,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US",2020-03-04 23:00:00,2021-03-02 11:00:00,rsaEncryption,rsa,2048,api.twitter.com
2020-09-02 14:36:20.136914015,F4SBJJ15cqRXrv00sf,20000CB511346DFD3F696B063B0000000CB511,CN=prod.registrar.skype.com,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US",2019-11-06 11:57:50,2021-11-06 11:57:50,rsaEncryption,rsa,2048,"prod.registrar.skype.com,*.prod.registrar.skype.com"
2020-09-02 14:36:20.370110035,FMfUcS3fSKYPdQOK2,200010761A732AD90380310E1600000010761A,CN=apis.skype.com,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US",2020-01-23 10:06:51,2022-01-23 10:06:51,rsaEncryption,rsa,2048,"*.gateway.messenger.live.com,api.chat.skype.net,*.chat.skype.net,apis.skype.com,api.skype.net,df-api.skype.net,df-apis.skype.com,*.api.skype.net,*.apis.skype.com"
2020-09-02 14:36:20.512145996,FuYDgm3is2A70nZECe,200010761A732AD90380310E1600000010761A,CN=apis.skype.com,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US",2020-01-23 10:06:51,2022-01-23 10:06:51,rsaEncryption,rsa,2048,"*.gateway.messenger.live.com,api.chat.skype.net,*.chat.skype.net,apis.skype.com,api.skype.net,df-api.skype.net,df-apis.skype.com,*.api.skype.net,*.apis.skype.com"
2020-09-02 14:36:21.984600067,FjPlTC49TieltNBirc,7B000547AA06CA80588E4D64930000000547AA,CN=consumer.entitlement.skype.com,"CN=Microsoft IT TLS CA 1,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US",2019-06-13 06:34:21,2021-06-13 06:34:21,rsaEncryption,rsa,2048,consumer.entitlement.skype.com
2020-09-02 14:36:21.993311882,FQQBj947bXH29Fr2yb,200006BDBF456A12D343C4C8C900000006BDBF,CN=static.asm.skype.com,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US",2019-07-02 13:59:56,2021-07-02 13:59:56,rsaEncryption,rsa,2048,"authgw.asm.skype.com,ea1-authgw.asm.skype.com,eus1-authgw.asm.skype.com,neu1-authgw.asm.skype.com,nus1-authgw.asm.skype.com,sa1-authgw.asm.skype.com,sus1-authgw.asm.skype.com,weu1-authgw.asm.skype.com,wus1-authgw.asm.skype.com,static.asm.skype.com"
2020-09-02 14:36:22.300074100,FBxlDSI8mP89j2c3g,1C00145F23036BBCE62F3F2C56000000145F23,CN=*.vo.msecnd.net,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US",2020-03-18 18:52:29,2022-03-18 18:52:29,rsaEncryption,rsa,2048,"*.cmsresources.windowsphone-int.com,*.ads2.msads.net,*.aspnetcdn.com,*.cmsresources.windowsphone.com,*.microsoft-sbs-domains.com,ajax.microsoft.com,*.dev.skype.com,*.vo.msecnd.net,*.nugettest.org,*.azureedge.net,*.wpc.azureedge.net,*.wac.azureedge.net,*.adn.azureedge.net,*.fms.azureedge.net,*.azurecomcdn.net,*.cdn.skype.net,*.cdn.skype.com,*.streaming.media-test.windows-int.net,*.streaming.mediaservices.windows.net,*.secure.skypeassets.com,*.secure.skypeassets.net,*.yammer.com,*.azureedge-test.net,cdnads.msads.net,cdn-resources.windowsphone.com,cdn-resources-beta.windowsphone.com,ecnads1.msn.com,iecvlist.microsoft.com,images-cms-pn.windowsphone-int.com,images-cms-tst.windowsphone-int.com,lumiahelptipscdn.microsoft.com,lumiahelptipscdnqa.microsoft.com,montage.msn.com,mscrl.microsoft.com,r20swj13mr.microsoft.com,lumiahelptipsmscdn.microsoft.com,lumiahelptipsmscdnqa.microsoft.com,*.nuget.org,*.origin.mediaservices.windows.net,download.sysinternals.com,amp.azure.net,rt.ms-studiosmedia.com,gtm.ms-studiosmedia.com,prss.centralvalidation.com,software-download.microsoft.com,datafactory.azure.com,*.aisvc.visualstudio.com,*.cdn.powerbi.com,downloads.subscriptionsint.tfsallin.net,download.my.visualstudio.com,dist.asp.net,dxtembed.powerbi.com,msitembed.powerbi.com,embed.powerbi.com,*.ec.azureedge.net,*.wpc.ec.azureedge.net,*.wac.ec.azureedge.net,*.adn.ec.azureedge.net,*.fms.ec.azureedge.net,*.cdn.powerappscdn.net,stream.microsoft.com,*.applicationinsights.io,*.applicationinsights.net,cdn.vsassets.io,cdnppe.vsassets.io,*.cortanaanalytics.com,do.skype.com,software-download.office.microsoft.com,*.gallerycdn.vsassets.io,*.gallerycdnppe.vsassets.io,download.learningdownloadcenter.microsoft.com,global.asazure.windows.net,cdn.wallet.microsoft-ppe.com,cdn.wallet.microsoft.com,www.videobreakdown.com,www.breakdown.me,*.gallerycdntest.vsassets.io,software-download.coem.microsoft.com,natick.research.microsoft.com,agavecdn.o365weve-dev.com,agavecdn.o365weve-ppe.com,agavecdn.o365weve.com,download.visualstudio.com,*.Applicationinsights.microsoft.com,*.sfbassets.com,*.sfbassets.net,*.origin.mediaservices.windows-int.net,download.mono-project.com,*.mp.microsoft.com,download.visualstudio.microsoft.com,vi.microsoft.com,quotecenter.microsoft.com,quotecenter-ppe.microsoft.com,*.streaming.media.azure-test.net,*.streaming.media.azure.net,cdn.botframework.com,cdn.cloudappsecurity.com,*.videoindexer.ai,*.api.videoindexer.ai"
2020-09-02 14:36:22.892340899,F4pxd41evm9A0a8LB2,031A7F71F6457500713C053489AD7336,"CN=*.twitter.com,OU=fra2,O=Twitter\\, Inc.,L=San Francisco,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US",2020-03-04 23:00:00,2021-03-02 11:00:00,rsaEncryption,rsa,2048,"*.twitter.com,twitter.com"
